Marathi_Word,Frequency
व,2965
आहे,2523
आणि,2460
या,1930
संपादन,1254
हे,1187
१,931
आहेत,918
रोजी,887
होते,852
हा,830
२,778
ही,720
३,701
४,692
एक,662
पृ,618
स,604
केले,594
इ,583
असे,582
ते,563
पाहिले,560
मध्ये,555
केली,538
होता,537
५,530
भारतीय,521
अनेक,514
केला,479
तर,465
होती,463
करा,458
भारत,424
इतर,415
काही,407
६,402
१०,400
तसेच,392
येथे,388
म्हणून,387
०,383
नाही,381
झाले,380
आले,366
८,353
षटके,347
मुंबई,347
झाला,345
दोन,335
करून,326
आपल्या,324
झाली,324
धावा,318
इंग्रजी,312
पुणे,310
तयार,309
मराठी,304
मधील,303
त्याने,302
२०,301
७,293
११,293
पण,285
महाराष्ट्र,278
की,271
रेल्वे,271
९,271
तो,265
दक्षिण,261
वि,260
असून,259
१२,258
सुरू,256
संदर्भ,250
करण्यात,248
त्यांनी,248
मुख्य,247
२००७,245
२००८,241
राष्ट्रीय,241
नवीन,241
च्या,235
सर्व,234
त्यांना,232
मजकूर,230
क्रिकेट,226
विकिपीडिया,226
दुवे,226
ह्या,226
काँग्रेस,226
जाते,225
जास्त,221
मी,220
सहाय्य,220
परंतु,220
आवृत्ती,218
भाग,216
युद्ध,213
कमी,213
एका,212
मार्च,211
सर्वात,211
सामना,211
१४,210
१५,210
शहर,209
३०,209
जर्मन,208
येथील,203
१९,202
ऑफ,202
नागपूर,202
पश्चिम,201
लंडस्ट्रॉम,201
यांनी,200
१८,200
वर्ग,199
पहा,198
आली,198
भाषेत,198
लेख,197
अ,195
मे,195
मोठ्या,193
भारताच्या,192
मैदान,191
नाव,189
त्या,188
ए,187
१७,184
विजयी,182
एस,178
२७,178
म्हणजे,178
एकदिवसीय,177
गेले,176
कोहली,176
त्याला,176
जपानी,175
१३,173
तीन,173
अशी,173
उत्तर,172
असते,170
न,168
पान,167
द,167
नदी,166
जून,166
हल्ला,166
संघ,164
केल्या,164
इन,163
किल्ला,163
असा,162
आला,162
त्यामुळे,162
असलेल्या,161
वाघ,160
१६,160
त्यांच्या,160
भारतात,159
सर्वाधिक,158
वरील,157
काळात,157
एप्रिल,157
गांधी,156
किंवा,156
गेला,155
इंडिया,155
त्याच्या,155
आंतरराष्ट्रीय,155
होत,154
२१,153
राष्ट्रवादी,152
साली,151
सदर,150
सर्वांत,150
दुसऱ्या,149
पूर्व,149
अशा,148
२८,148
राज्य,147
इतिहास,147
दिले,145
विमाने,145
२६,144
२२,143
बदल,143
आपली,142
लढाई,142
२०१०,141
मंदिर,141
प्रमुख,141
सैन्याने,139
प्रदेश,139
भारतातील,139
२४,139
झालेल्या,138
५०,138
आर्थिक,138
एकूण,138
सैन्य,137
२३,137
अमेरिकन,136
वेबॅक,134
करणे,133
कि,132
पुरस्कार,132
ब्रिटिश,132
पुढे,131
प्रसिद्ध,131
ना,131
दोन्ही,131
एम,130
माहिती,130
तरी,129
करण्यास,129
मोठा,129
खाते,127
चार,126
दिनांक,125
उद्यान,124
दिला,124
असणारे,123
जानेवारी,123
२०११,122
लॉग,122
न्यू,122
आता,122
यांच्या,122
वापरुन,121
आपले,121
उपलब्ध,121
तपासा,121
दिल्ली,121
मोठे,121
संस्था,120
म्हणतात,120
२९,120
बाह्य,120
ऑक्टोबर,117
२५,117
शोध,117
विविध,117
चित्रपट,116
नाला,116
लेणी,116
करण्यासाठी,115
मूल्ये,115
सामन्यात,115
गेली,114
जुलै,114
अटी,114
अधिक,114
पूर्ण,113
सुमारे,113
नंतर,113
कसोटी,113
मध्य,112
प्रवेश,112
नोव्हेंबर,110
सामने,110
सुरुवात,110
भाषा,109
पाटील,109
ऑगस्ट,109
जगातील,109
त्याचा,108
मृत,107
सी,106
त्याचे,105
टी,105
शिवसेना,105
कॉमन्स,104
देश,104
पर्यंत,104
मोठी,104
विजय,104
४०,103
असतात,103
भारताने,103
ऑस्ट्रेलिया,103
डी,103
नोंदी,102
सोव्हिएत,102
जिल्हा,102
लागले,102
संकेतस्थळ,102
भाजप,101
विश्वचषक,101
जागतिक,101
गट,101
राखून,100
असलेले,100
वेस्ट,100
पासून,100
अथवा,99
फेब्रुवारी,99
वाजता,99
००,99
हवा,99
असतो,99
युद्धात,98
जातो,98
गणपती,98
एर,98
यात,98
गणेश,97
साम्राज्य,97
अंतर्गत,97
मदत,96
आफ्रिका,96
पहिल्या,96
पूल,95
काम,95
आपण,95
ती,95
जर्मनी,95
२००९,95
त्यांची,93
सरकारने,93
काय,93
केलेल्या,93
श्रीलंका,93
डिसेंबर,92
सैनिक,92
वाचासंपादनइतिहास,92
दिली,92
प्रत्येक,91
हिंदी,91
येते,91
लोक,91
२०१२,91
शकतात,91
प्रमाण,91
यांचा,91
परत,91
जातात,91
गडी,90
३१,90
जी,90
होत्या,90
इंग्लंड,90
दुसरे,89
यामुळे,89
आर,89
त्यानंतर,89
शिक्षण,89
चर्चा,88
करतात,88
त्याची,88
पुन्हा,88
मार्ग,88
विराट,88
पर्ल,88
रायगड,87
करत,87
केवळ,87
फक्त,87
परिणाम,87
विभाग,87
चेन्नई,86
इंग्लिश,86
कोटी,86
किमी,86
तापमान,86
राजधानी,86
महात्मा,85
